Level,Date and Time,Source,Event ID,Task Category
Warning,7/4/2020 4:01:46 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 4:01:46 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 4:00:15 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 4:00:09 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2046‎-‎02‎-‎24T00:19:04.000000000Z) has successfully loaded and registered with Filter Manager."
Warning,7/4/2020 3:59:53 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 3:59:44 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\AppCompat\Programs\Amcache.hve was cleared updating 1381 keys and creating 545 modified pages.
Information,7/4/2020 3:59:43 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Warning,7/4/2020 3:59:43 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 3:59:42 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 3:59:40 PM,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,7/4/2020 3:59:39 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/4/2020 3:59:39 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\bbimigrate\BBI was cleared updating 1 keys and creating 1 modified pages.
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2084‎-‎07‎-‎24T08:29:44.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) unloaded successfully."
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1974‎-‎08‎-‎09T16:33:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2011‎-‎08‎-‎26T01:27:29.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,7/4/2020 3:59:38 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,7/4/2020 3:59:37 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\LocalService\NTUSER.DAT was cleared updating 76 keys and creating 18 modified pages.
Information,7/4/2020 3:59:37 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\BBI was cleared updating 287 keys and creating 71 modified pages.
Information,7/4/2020 3:59:37 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\WINDOWS\ServiceProfiles\NetworkService\NTUSER.DAT was cleared updating 111 keys and creating 21 modified pages.
Information,7/4/2020 3:59:37 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SAM was cleared updating 69 keys and creating 7 modified pages.
Information,7/4/2020 3:59:37 PM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,7/4/2020 3:59:36 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\SECURITY was cleared updating 81 keys and creating 5 modified pages.
Information,7/4/2020 3:59:36 PM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,7/4/2020 3:59:34 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \SystemRoot\System32\Config\DEFAULT was cleared updating 463 keys and creating 60 modified pages.
Information,7/4/2020 3:59:32 PM,Microsoft-Windows-Kernel-General,15,None,Hive \SystemRoot\System32\Config\SOFTWARE was reorganized with a starting size of 75395072 bytes and an ending size of 75354112 bytes.
Information,7/4/2020 3:59:29 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{1de56c92-7cab-4981-b572-50a171ad5c66} (\Device\HarddiskVolume6) is healthy.  No action is needed.
Information,7/4/2020 3:59:29 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{c3f65bb2-b295-4d90-861f-ae3ae826d34b} (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information,7/4/2020 3:59:28 PM,Microsoft-Windows-Ntfs,98,None,Volume D: (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information,7/4/2020 3:59:28 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,7/4/2020 3:59:28 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎1977‎-‎09‎-‎12T18:19:34.000000000Z) has successfully loaded and registered with Filter Manager."
Warning,7/4/2020 3:59:26 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1f7fffff.  Low Energy peripheral role functionality will not be available."
Information,7/4/2020 3:59:26 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,7/4/2020 3:59:25 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 3:59:25 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 3:59:25 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 3:59:25 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 3:59:24 PM,NETwNe64,7036,None,The \Device\NDMP2 service entered the Intel(R) Centrino(R) Wireless-N 2230 state.
Information,7/4/2020 3:59:24 PM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Information,7/4/2020 3:59:23 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2011‎-‎10‎-‎30T18:56:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:23 PM,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information,7/4/2020 3:59:22 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2024‎-‎05‎-‎21T18:05:18.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:22 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2096‎-‎10‎-‎27T16:24:16.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:22 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎1989‎-‎07‎-‎13T04:15:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,7/4/2020 3:59:21 PM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2020‎-‎07‎-‎04T12:59:20.500000000Z.
Information,7/4/2020 3:59:11 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2020‎-‎07‎-‎04T12:59:11.216732200Z.
Information,7/4/2020 3:59:10 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information,7/4/2020 3:59:09 PM,Microsoft-Windows-WLAN-AutoConfig,4001,None,"WLAN AutoConfig service has successfully stopped.
"
Information,7/4/2020 3:59:37 PM,EventLog,6013,None,The system uptime is 17 seconds.
Information,7/4/2020 3:59:37 PM,EventLog,6005,None,The Event log service was started.
Information,7/4/2020 3:59:37 PM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 18363  Multiprocessor Free.
Information,7/4/2020 3:59:08 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,7/4/2020 3:59:08 PM,Microsoft-Windows-DHCPv6-Client,51057,Service State Event,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information,7/4/2020 3:59:08 PM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,7/4/2020 3:59:07 PM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,7/4/2020 3:59:07 PM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,7/4/2020 3:59:07 PM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,7/4/2020 3:59:08 PM,EventLog,6006,None,The Event log service was stopped.
Information,7/4/2020 3:59:03 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,7/4/2020 3:57:10 PM,Virtual Disk Service,4,None,Service stopped.
Information,7/4/2020 3:22:42 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,7/4/2020 3:01:17 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/4/2020 2:58:43 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/4/2020 2:58:11 PM,Virtual Disk Service,3,None,Service started.
Warning,7/4/2020 2:57:43 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 2:55:47 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 2:55:28 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 2:55:11 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,7/4/2020 2:53:11 PM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.449_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 2:53:09 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,7/4/2020 2:53:09 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,7/4/2020 2:53:09 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,7/4/2020 2:53:09 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Information,7/4/2020 2:53:06 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/4/2020 2:53:05 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Logitech - Other hardware - Logitech USB Input Device
Information,7/4/2020 2:53:05 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Logitech - Other hardware - Logitech USB Input Device
Information,7/4/2020 2:53:05 PM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver unifhid.inf_amd64_3994342584154151 for Device Instance ID USB\VID_046D&PID_C52B&MI_00\7&22747059&0&0000 with the following status: 0x0.
Information,7/4/2020 2:53:03 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service HidUsb for Device Instance ID USB\VID_046D&PID_C52B&MI_00\7&22747059&0&0000 with the following status: 0.
Information,7/4/2020 2:52:55 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/4/2020 2:52:43 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 17 keys and creating 2 modified pages.
Information,7/4/2020 2:52:27 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\AppleInc.iTunes_nzyj5cx40ttqa\S-1-5-21-839496821-663164669-2267191325-1002\SystemAppData\Helium\Cache\497bcc39cfdee01b_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,7/4/2020 2:52:27 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\AppleInc.iTunes_nzyj5cx40ttqa\S-1-5-21-839496821-663164669-2267191325-1002\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,7/4/2020 2:52:27 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\AppleInc.iTunes_nzyj5cx40ttqa\S-1-5-21-839496821-663164669-2267191325-1002\SystemAppData\Helium\User.dat was cleared updating 32 keys and creating 2 modified pages.
Information,7/4/2020 2:52:12 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 4 keys and creating 2 modified pages.
Information,7/4/2020 2:52:10 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat was cleared updating 36 keys and creating 8 modified pages.
Information,7/4/2020 2:52:09 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 4 keys and creating 1 modified pages.
Warning,7/4/2020 2:52:04 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 2:52:03 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 2:52:01 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\AppData\Local\Microsoft\Windows\UsrClass.dat was cleared updating 3253 keys and creating 637 modified pages.
Information,7/4/2020 2:52:01 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\PC\ntuser.dat was cleared updating 2154 keys and creating 277 modified pages.
Information,7/4/2020 2:52:01 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/4/2020 2:52:00 PM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2020‎-‎07‎-‎04T10:47:17.832836400Z
Wake Time: ‎2020‎-‎07‎-‎04T11:51:58.265207900Z

Wake Source: Unknown"
Warning,7/4/2020 2:51:59 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1f7fffff.  Low Energy peripheral role functionality will not be available."
Information,7/4/2020 2:51:59 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,7/4/2020 2:51:58 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \Device\HarddiskVolume3\EFI\Microsoft\Boot\BCD was cleared updating 64 keys and creating 7 modified pages.
Information,7/4/2020 2:51:58 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x1.
Information,7/4/2020 2:51:58 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/4/2020 2:51:58 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,7/4/2020 2:51:58 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,7/4/2020 2:51:58 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,7/4/2020 2:51:57 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎04T11:51:57.500000000Z from ‎2020‎-‎07‎-‎04T10:47:20.217832400Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,7/4/2020 1:47:20 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,7/4/2020 1:47:18 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,7/4/2020 1:47:17 PM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,7/4/2020 1:47:17 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,7/4/2020 1:47:15 PM,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-577B38M) has initiated the power off of computer DESKTOP-577B38M on behalf of user DESKTOP-577B38M\PC for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Warning,7/4/2020 12:49:08 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 12:49:08 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 12:48:21 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 12:48:21 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-577B38M\PC SID (S-1-5-21-839496821-663164669-2267191325-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 12:00:00 PM,EventLog,6013,None,The system uptime is 217526 seconds.
Information,7/4/2020 11:36:01 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎04T08:36:01.655840000Z from ‎2020‎-‎07‎-‎04T08:36:01.653887500Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume5\Windows\System32\svchost.exe' (PID 9776)."
